OriginalName,UpdatedName,Family,Order,Class,Phylum,Genus,Hemisphere,Latitude,Longitude,DevelopmentalMode,EggSize,PlanktonicTime
Austrobalanus imperator,Austrobalanus imperator,Austrobalanidae,Sessilia,Maxillopoda,Arthropoda,Austrobalanus,S,-34,151,P,NA,NA
Tesseropora rosea,Tesseropora rosea,Tetraclitidae,Sessilia,Maxillopoda,Arthropoda,Tesseropora,S,-34,151,P,NA,NA
Tetraclitella purpurasce,Tetraclitella purpurascens,Tetraclitidae,Sessilia,Maxillopoda,Arthropoda,Tetraclitella,S,-34,151,P,NA,NA
Diopatra ornata,Diopatra ornata,Onuphidae,Eunicida,Polychaeta,Annelida,Diopatra,N,33,-117,L,230,NA
Heliocidaris tuberculata,Heliocidaris tuberculata,Echinometridae,Camarodonta,Echinoidea,Echinodermata,Heliocidaris,S,-33,151,P,93.6,30
Clypeaster subdepressus,Clypeaster subdepressus,Clypeasteridae,Clypeasteroida,Echinoidea,Echinodermata,Clypeaster,N,10,-79,P,165,16
Clypeaster rosaceus,Clypeaster rosaceus,Clypeasteridae,Clypeasteroida,Echinoidea,Echinodermata,Clypeaster,N,24,-80,P,270,7
Echinometra lucunter,Echinometra lucunter,Echinometridae,Echinoida,Echinoidea,Echinodermata,Echinometra,N,10,-80,P,82,23
Echinometra vanbrunti,Echinometra vanbrunti,Echinometridae,Echinoida,Echinoidea,Echinodermata,Echinometra,N,10,-80,P,70,18
Nicon aestuariensis,Nicon aestuariensis,Nereidae,Phyllodocida,Polychaeta,Annelida,Nicon,S,-43,172.738037,L,150,NA
Arenicola ecaudata,Arenicolides ecaudata,Arenicolidae,,Polychaeta,Annelida,Arenicolides,N,50.356085,-4,L,140,NA
Diopatra marocensis,Diopatra marocensis,Onuphidae,Eunicida,Polychaeta,Annelida,Diopatra,N,31.546942,-10,L,600,NA
Asterias lincki,Urasterias lincki,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Urasterias,N,70,19,L,600,NA
Ophionereis fasciata,Ophionereis fasciata,Ophionereididae,Ophiurida,Ophiuroidea,Echinodermata,Ophionereis,S,-36,174,P,99,NA
Bulla gouldiana,Bulla gouldiana,Bullidae,Cephalaspidea,Gastropoda,Mollusca,Bulla,N,31,-116,P,NA,NA
Arenicola marina,Arenicola marina,Arenicolidae,,Polychaeta,Annelida,Arenicola,N,53.120405,5,L,130,NA
Kingberonuphis pulchra,Kinbergonuphis pulchra,Onuphidae,Eunicida,Polychaeta,Annelida,Kinbergonuphis,N,17,-88,L,330,NA
Lumbrinereis luti,Lumbrineris luti,Lumbrinereidae,Eunicida,Polychaeta,Annelida,Lumbrineris,N,38,-122,L,100,NA
Magellona sacculata,Magelona sacculata,Magelonidae,Spionida,Polychaeta,Annelida,Magelona,N,38,-122,P,130,NA
Mediomastus californiens,Mediomastus californiensis,Capitellidae,,Polychaeta,Annelida,Mediomastus,N,38,-122,L,80,NA
Mooreonuphis jonesi,Mooreonuphis jonesi,Onuphidae,Eunicida,Polychaeta,Annelida,Mooreonuphis,N,32.324276,-64,L,168,NA
Prionospio pigmea,Prionospio pygmaeus,Spionidae,Spionida,Polychaeta,Annelida,Prionospio,N,38,-122,P,60,NA
Prionospio cirrifera,Prionospio cirrifera,Spionidae,Spionida,Polychaeta,Annelida,Prionospio,N,38,-122,P,30,NA
Tridacna squamosa,Tridacna squamosa,Tridacnidae,Veneroida,Bivalvia,Mollusca,Tridacna,N,6,147,P,140,11
Ophiomastix venosa,Ophiomastix venosa,Ophiocomidae,Ophiurida,Ophiuroidea,Echinodermata,Ophiomastix,S,-23,43,L,525,NA
Acteocina canaliculata,Acteocina canaliculata,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Acteocina,N,41,-72,P,91.5,6.5
Tornatina canaliculata,Acteocina canaliculata,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Acteocina,N,41,-71,P,91.5,NA
Pisaster brevispinus,Pisaster brevispinus,Asteriidae,Forcipulata,Asteroidea,Echinodermata,Pisaster,N,50,-123,P,165,NA
Ophiocten hastatum,Ophiocten hastatum,Ophiurudae,Ophiurida,Ophiuroidea,Echinodermata,Ophiocten,N,54,-12,P,140,NA
Crepidula fecunda,Crepipatella peruviana,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepipatella,S,-41,-72,P,212,NA
Asterias rubens,Asterias rubens,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Asterias,N,55,-4,P,175,52.5
Crossaster papposus,Crossaster papposus,Solasteridae,Spinulodisa,Asteroidea,Echinodermata,Crossaster,N,55,-4,L,800,19
Porania pulvillus,Porania (Porania) pulvillus,Poraniidae,Spinulodisa,Asteroidea,Echinodermata,Porania,N,55,-4,P,200,NA
Scolecolepides viridis,Marenzelleria viridis,Spionidae,Spionida,Polychaeta,Annelida,Marenzelleria,N,44.962855,-64,L,230,NA
Arbacia lixula,Arbacia lixula,Arbaciidae,Arbacioida,Echinoidea,Echinodermata,Arbacia,N,43,7,P,72.9,26
Naineis laevigata,Naineris laevigata,Orbiniidae,,Polychaeta,Annelida,Naineris,N,40.417678,18,L,240,NA
Tharyx marioni,Aphelochaeta marioni,Cirratulidae,Spionida,Polychaeta,Annelida,Aphelochaeta,N,51,1,L,190,NA
Haminoea vesicula,Haminoea vesicula,Atyidae,Cephalaspidea,Gastropoda,Mollusca,Haminoea,N,49,-125,P,90,32
Dodecaceria concharum,Dodecaceria concharum,Cirratulidae,Spionida,Polychaeta,Annelida,Dodecaceria,N,55.025857,-1,L,100,NA
Anasterias minuta,Anasterias antarctica,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Anasterias,S,-45,-67,L,1810,NA
Ceratonereis limnetica,Simplisetia limnetica,Nereidae,Phyllodocida,Polychaeta,Annelida,Simplisetia,S,-33,150.886767,L,220,NA
Berthella californica,Berthella californica,Pleurobranchiid,Notaspidea,Gastropoda,Mollusca,Berthella,N,43,-124,P,92.6,NA
Diaphana californica,Diaphana californica,Cephalaspidea,Cephalaspidea,Gastropoda,Mollusca,Diaphana,N,43,-124,P,73,NA
Aldisa sanguinea,Aldisa sanguinea,Dorididae,Nudibranchia,Gastropoda,Mollusca,Aldisa,N,43,-124,P,90.7,NA
Cadlina marginata,Cadlina luteomarginata,Chromodorididae,Nudibranchia,Gastropoda,Mollusca,Cadlina,N,43,-124,P,94,NA
Catriona columbiana,Catriona columbiana,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Catriona,N,43,-124,P,100,NA
Cuthona fulgens,Cuthona fulgens,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Cuthona,N,43,-124,P,94.3,NA
Cuthona divae,Cuthona divae,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Cuthona,N,43,-124,P,107.1,NA
Cuthona abronia,Cuthona abronia,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Cuthona,N,43,-124,P,94.8,NA
Cuthona cocoachroma,Cuthonella cocoachroma,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Cuthonella,N,43,-124,P,95.4,NA
Cuthona lagunae,Diaphoreolis lagunae,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Diaphoreolis,N,43,-124,P,102.3,NA
Discodoris sandiegensis,Diaulula sandiegensis,Discodorididae,Nudibranchia,Gastropoda,Mollusca,Diaulula,N,43,-124,P,83,NA
Archidoris odhneri,Doris odhneri,Dorididae,Nudibranchia,Gastropoda,Mollusca,Doris,N,43,-124,P,96.1,NA
Discodoris heathi,Geitodoris heathi,Discodorididae,Nudibranchia,Gastropoda,Mollusca,Geitodoris,N,43,-124,P,78.8,NA
Cuthona albocrusta,Trinchesia albocrusta,Tergipedidae,Nudibranchia,Gastropoda,Mollusca,Trinchesia,N,43,-124,P,97.2,NA
Cumanotus beaumonti,Cumanotus beaumonti,Cumanotidae,Nudibranchia,Gastropoda,Mollusca,Cumanotus,N,43,-124,P,73,NA
Eubranchus olivaceus,Eubranchus olivaceus,Eubranchidae,Nudibranchia,Gastropoda,Mollusca,Eubranchus,N,43,-124,P,85,NA
Flabellina trilineata,Orienthella trilineata,Flabellinidae,Nudibranchia,Gastropoda,Mollusca,Orienthella,N,43,-124,P,65,NA
Aplysiopsis enteromorpha,Aplysiopsis enteromorphae,Hermaeidae,Sacoglossa,Gastropoda,Mollusca,Aplysiopsis,N,34,-120,P,68,NA
Elysia hedgpethi,Elysia hedgpethi,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,34,-120,P,68,NA
Placida dendritica,Placida dendritica,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Placida,N,34,-120,P,57,NA
Philine auriformis,Philine auriformis,Philinidae,cephalaspidea,Gastropoda,Mollusca,Philine,N,37,-122,P,79.5,NA
Ophiopsammus maculata,Ophiopsammus maculata,Ophiodermatidae,Ophiurida,Ophiuroidea,Echinodermata,Ophiopsammus,S,-47,167,L,600,NA
Pycnopodia helianthoides,Pycnopodia helianthoides,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Pycnopodia,N,50,-123,P,120,65
Melinna palmata,Melinna palmata,Ampharetidae,Ophiurida,Ophiuroidea,Echinodermata,Melinna,N,52,-9,L,290,NA
Gyptis rosea,Gyptis rosea,Hesionidae,Phyllodocida,Polychaeta,Annelida,Gyptis,N,59,10,P,90,NA
Ophiodromus flexuosus,Oxydromus flexuosus,Hesionidae,Phyllodocida,Polychaeta,Annelida,Oxydromus,N,59.474384,10,P,108,NA
Elysia hamatanii,Elysia hamatanii,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,34,135,P,68,NA
Elysia trisinuata,Elysia trisinuata,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,34,135,P,46,NA
Pygospio elegans,Pygospio elegans,Spionidae,Spionida,Polychaeta,Annelida,Pygospio,N,58.403151,12,L,300,NA
Scottolana canadensis,Scottolana canadensis,Canuellidae,Harpacticoida,Maxillopoda,Arthropoda,Scottolana,N,38,-77,P,NA,5
Strongylocentrotus droebachiensis,Strongylocentrotus droebachiensis,Strongylocentro,Echinoida,Echinoidea,Echinodermata,Strongylocentrotus,N,48,-123,P,155,36.5
Brisaster latifrons,Brisaster latifrons,Schizasteridae,Spatangoida,Echinoidea,Echinodermata,Brisaster,N,48,-122,L,365,35
Echinarachnius parma,Echinarachnius parma,Echinarachniida,Clypeasteroida,Echinoidea,Echinodermata,Echinarachnius,N,41,-70,P,145,32
Cantharidus callichroa,Cantharidus callichroa,Trochidae,Archaeogastropo,Gastropoda,Mollusca,Cantharidus,N,26,120,L,446,NA
Doridella steinbergae,Corambe steinbergae,Corambidae,Nudibranchia,Gastropoda,Mollusca,Corambe,N,48,-123,P,80,34
Doridella obscura,Corambe obscura,Corambidae,Nudibranchia,Gastropoda,Mollusca,Corambe,N,48,-123,P,65,13
Haminoea callidegenita,Haminoea japonica,Haminoedae,Cephalaspidea,Gastropoda,Mollusca,Haminoea,N,47,-122,L,220,NA
Phidiana lycnaeus,Phidiana lynceus,Phidianidae,Nudibranchia,Gastropoda,Mollusca,Phidiana,N,17,-88,L,140,7
Tritonia hombergi,Tritonia hombergii,Tritoniidae,Nudibranchia,Gastropoda,Mollusca,Tritonia,N,34,-4,L,200,43
Pholoe minuta,Pholoe minuta,Sigalionidae,Phyllodocida,Polychaeta,Annelida,Pholoe,N,55.372868,-1,P,135,NA
Acanthaster planci,Acanthaster planci,Acanthasteridae,Spinulodisa,Asteroidea,Echinodermata,Acanthaster,S,-10,146,P,175,38
Amphiodia pulchella,Amphiodia pulchella,Amphiuridae,Ophiurida,Ophiuroidea,Echinodermata,Amphiodia,N,16,-88,P,65,NA
Ophionereis reticulata,Ophionereis reticulata,Ophionereididae,Ophiurida,Ophiuroidea,Echinodermata,Ophionereis,N,18,-77,P,250,NA
Ophiopsila riisei,Ophiopsila riisei,Ophiocomidae,Ophiurida,Ophiuroidea,Echinodermata,Ophiopsila,N,18,-77,L,230,NA
Acrocnida brachiata,Acrocnida brachiata,Amphiuridae,Ophiurida,Ophiuroidea,Echinodermata,Acrocnida,N,54,-4,P,140,NA
Amphioplus abditus,Amphioplus abditus,Amphiuridae,Ophiurida,Ophiuroidea,Echinodermata,Amphioplus,N,41,-73,L,160,NA
Ophiocomella ophiactoide,Ophiocomella ophiactoide,Ophiocomidae,Ophiurida,Ophiuroidea,Echinodermata,Ophiocomella,N,18,-77,P,80,NA
Ophiolepis impressa,Ophiolepis impressa,Ophiurudae,Ophiurida,Ophiuroidea,Echinodermata,Ophiolepis,N,17,-88,L,200,NA
Ophionereis annulata,Ophionereis annulata,Ophionereididae,Ophiurida,Ophiuroidea,Echinodermata,Ophionereis,N,8,-79,L,240,NA
Armandia brevis,Armandia brevis,Opheliidae,,Polychaeta,Annelida,Armandia,N,48.537522,-123,P,60,NA
Encope aberrans,Encope michelini,Mellitidae,Clypeasteroida,Echinoidea,Echinodermata,Encope,N,24,-80,P,190,7
Pseudochitinopoma occide,Pseudochitinopoma occidentalis,Serpulidae,Sabellida,Polychaeta,Annelida,Pseudochitinopoma,N,48.537522,-123,P,60,NA
Crepidula protea,Crepidula protea,Calyptraeidae,Mesogastropoda,Gastropoda,Mollusca,Crepidula,S,-24,-42,P,150,NA
Stylocidaris affinis,Stylocidaris affinis,Cidaridae,Cidaroida,Asteroidea,Echinodermata,Stylocidaris,N,41,14,P,110,NA
Astropecten auranciacus,Astropecten aranciacus,Astropectinidae,Paxillodisa,Asteroidea,Echinodermata,Astropecten,N,45,13,P,195,80
Cerithium eburneum,Cerithium eburneum,Cerithiidae,Caenogastropoda,Gastropoda,Mollusca,Cerithium,N,26,-80,P,90,NA
Cerithium nodulosum,Cerithium nodulosum,Cerithiidae,Caenogastropoda,Gastropoda,Mollusca,Cerithium,N,11,162,P,200,NA
Cerithium muscarum,Cerithium muscarum,Cerithiidae,Caenogastropoda,Gastropoda,Mollusca,Cerithium,N,26,-80,P,250,NA
Cerithium floridanum,Cerithium atratum,Cerithiidae,Caenogastropoda,Gastropoda,Mollusca,Cerithium,N,26,-80,P,100,NA
Cerithium variabile,Cerithium lutosum,Cerithiidae,Caenogastropoda,Gastropoda,Mollusca,Cerithium,N,26,-80,P,200,NA
Kingberonuphis simoni,Kinbergonuphis simoni,Onuphidae,Eunicida,Polychaeta,Annelida,Kinbergonuphis,N,28,-83,L,370,NA
Haliotis rubra,Haliotis rubra,Haliotidae,,Gastropoda,Mollusca,Haliotis,S,-38,144,L,207.65,NA
Cypraecassis testiculus,Cypraecassis testiculus,Cassidae,Mesogastropoda,Gastropoda,Mollusca,Cypraecassis,N,13,-59,P,149,NA
Siphopatella walshi,Siphopatella walshi,Calyptraeidae,Caenogastropoda,Gastropoda,Mollusca,Siphopatella,N,22,114,P,250,NA
Asterina burtoni,Aquilonastra burtoni,Asterinidae,Spinulodisa,Asteroidea,Echinodermata,Aquilonastra,N,15,81,L,500,5
Arachnoides placenta,Arachnoides placenta,Arachnoididae,Clypeasteroida,Echinoidea,Echinodermata,Arachnoides,N,15,120,P,110,10
Elysia japonica,Elysia japonica,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,22,114,P,91,NA
Elysia atroviridis,Elysia atroviridis,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,22,114,P,54,NA
Calliopaea oophaga,Calliopaea oophaga,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Calliopaea,N,56,10,P,61.7,NA
Elysia thompsoni,Elysia thompsoni,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,S,-25,114,P,62,NA
Ercolania endophytophaga,Ercolania endophytophaga,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Ercolania,S,-35,118,P,77.1,NA
Ercolania emarginata,Ercolania boodleae,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Ercolania,N,22,114,P,63.4,NA
Oxynoe olivacea,Oxynoe olivacea,Oxynoidae,Sacoglossa,Gastropoda,Mollusca,Oxynoe,N,40,0,P,65,NA
Thuridilla vatae,Thuridilla vataae,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Thuridilla,N,11,162,P,60,NA
Thuridilla gracilis (rat,Thuridilla gracilis,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Thuridilla,N,11,162,P,80,NA
Nereis vexillosa,Nereis vexillosa,Nereidae,Phyllodocida,Polychaeta,Annelida,Nereis,N,48.537522,-123,L,200,NA
Scolelepis squamata,Scolelepis (Scolelepis) squamata,Spionidae,Spionida,Polychaeta,Annelida,Scolelepis,N,51.368351,1,P,240,NA
Asterina batheri,Aquilonastra batheri,Asterinidae,Spinulodisa,Asteroidea,Echinodermata,Aquilonastra,N,35,137,L,430,10
Berthelinia limax,Berthelinia limax,Juliidae,Sacoglossa,Gastropoda,Mollusca,Berthelinia,N,32,130,L,250,NA
Julia japonica,Julia japonica,Juliidae,Sacoglossa,Gastropoda,Mollusca,Julia,N,32,130,P,65,NA
Echinaster echinophorus,Echinaster echinophorus,Echinasteridae,Spinulodisa,Asteroidea,Echinodermata,Echinaster,N,30,-82,L,1000,10
Echinaster echinophorus,Echinaster echinophorus,Echinasteridae,Spinulodisa,Asteroidea,Echinodermata,Echinaster,N,30,-82,L,1000,10
Macoma mitchelli,Ameritella mitchelli,Tellinidae,Veneroida,Bivalvia,Mollusca,Ameritella,N,38,-76,P,59,6.5
Nepanthia belcheri,Nepanthia belcheri,Asterinidae,Spinulodisa,Asteroidea,Echinodermata,Nepanthia,S,-19,146,L,450,NA
Perkinsiana antarctica,Perkinsiana antarctica,Sabellidae,Sabellida,Polychaeta,Annelida,Perkinsiana,S,-52,-60,L,195,NA
Conus catus,Conus catus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,21,-157,P,200,NA
Conus vexillum,Conus vexillum,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,21,-157,P,140,NA
Conus vitulinus,Conus vitulinus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,21,-157,P,225,NA
Conus canonicus,Conus canonicus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,S,-4,55,P,233,21
Conus moreleti,Conus moreleti,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,S,-4,55,P,150,28
Conus geographus,Conus geographus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,S,-4,55,P,190,27
Conus imperialis,Conus imperialis,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,S,-4,55,P,220,22
Conus varius,Conus varius,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,S,-4,55,P,160,27
Conus aristophanes,Conus aristophanes,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,S,-17,178,P,186,25
Conus eburneus,Conus eburneus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,11,162,P,150,28
Conus bandanus,Conus bandanus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,7,134,P,299,15
Conus omaria,Conus omaria,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,7,134,P,340,12
Conus chaldaeus,Conus chaldaeus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,S,-19,-169,P,175,25
Conus araneosus,Conus araneosus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,12,122,P,492,1.5
Conus suratensis,Conus suratensis,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,16,120,P,207,23
Conus distans,Conus distans,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,7,134,P,148,28
Conus planorbis,Conus planorbis,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,13,121,P,214,22
Conus capitaneus,Conus capitaneus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,9,100,P,142.5,28.5
Conus tessulatus,Conus tessulatus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,27,51,P,250,19
Conus litteratus,Conus litteratus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,7,134,P,201,23
Conus miles,Conus miles,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,8,159,P,228,21
Conus striatellus,Conus striatellus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,7,134,P,193,24
Conus striolatus,Conus striolatus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,7,135,P,224,21
Conus episcopus,Conus pennaceus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,7,134,P,275,17
Conus stercusmuscarum,Conus stercusmuscarum,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,13,121,P,235,20
Conus coffeae,Conus coffeae,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,N,7,134,P,222,21
Conus frigidus,Conus frigidus,Conidae,Caenogastropoda,Gastropoda,Mollusca,Conus,S,-3,100,P,212,22
Astropecten gisselbrecht,Astropecten gisselbrecht,Astropectentida,Paxillosida,Asteroidea,Echinodermata,Astropecten,N,33,130,L,353,3.38
Ctenopleura fisheri,Ctenopleura fisheri,Astropectinidae,Paxillodisa,Asteroidea,Echinodermata,Ctenopleura,N,57,137,L,465,15
Asterina coronata,Aquilonastra coronata,Asterinidae,Spinulodisa,Asteroidea,Echinodermata,Aquilonastra,N,40,135,L,430,30
Asterina minor,Aquilonastra minor,Asterinidae,Spinulodisa,Asteroidea,Echinodermata,Aquilonastra,N,40,135,L,440,10
Orthopyxis compressa,Orthopyxis compressa,Campanularidae,Hydroida,Hydrozoa,Cnidaria,Orthopyxis,N,48,-123,P,210,NA
Diopatra variabilis,Diopatra variabilis,Onuphidae,Eunicida,Polychaeta,Annelida,Diopatra,N,13,80,L,600,NA
Ondina diaphana,Ondina diaphana,Pyramidellidae,,Gastropoda,Mollusca,Ondina,N,48,-4,P,80,NA
Alderia willowi (benthic,Alderia willowi,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Alderia,N,33,-117,L,68,1.5
Alderia willowi (plankto,Alderia willowi,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Alderia,N,33,-117,P,105,32
Alderia modesta,Alderia modesta,Limapontiidae,Sacoglossa,Gastropoda,Mollusca,Alderia,N,38,-123,P,78,30.5
Elysia zuleicae,Elysia zuleicae,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,18,-77,P,66.1,NA
Elysia (Boselia) marcusi,Elysia marcusi,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,18,-77,L,103.9,5.5
Elysia pratensis,Elysia pratensis,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,24,-81,L,117.9,NA
Elysia cornigera,Elysia cornigera,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,24,-81,L,105,NA
Elysia subornata,Elysia subornata,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,24,-81,L,119.2,NA
Elysia crispata,Elysia crispata,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,12,-68,L,106.1,NA
Elysia tuca,Elysia velutinus,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,22,-73,L,104.8,NA
Elysia papillosa,Elysia papillosa,Plakobranchidae,Sacoglossa,Gastropoda,Mollusca,Elysia,N,24,-81,L,116.3,NA
Sphaeropomatus miamiensi,Ficopomatus miamiensis,Serpulidae,Sabellida,Polychaeta,Annelida,Ficopomatus,N,13,-59,P,48,4
Spirobranchus polycerus,Spirobranchus polycerus,Serpulidae,Sabellida,Polychaeta,Annelida,Spirobranchus,N,13,-59,P,65,NA
Pectinaria granulata,Cistenides granulata,Pectinariidae,Terebellida,Polychaeta,Annelida,Cistenides,N,69.162558,-53,P,68,NA
Nereis pelagica,Nereis pelagica,Nereididae,Phyllodocida,Polychaeta,Annelida,Nereis,N,50.352471,-4,L,180,NA
Phyllodoce maculata,Phyllodoce maculata,Phyllodocidae,Phyllodocida,Polychaeta,Annelida,Phyllodoce,N,45.073521,-67,P,110,NA
Clione limacina,Clione limacina,Clionidae,,Gastropoda,Mollusca,Clione,N,50,-4,P,85,17.5
Natica catena,Euspira catena,Naticidae,Neotaenioglossa,Gastropoda,Mollusca,Euspira,N,50,-4,P,160,NA
Alvania punctura,Alvania punctura,Rissoidae,,Gastropoda,Mollusca,Alvania,N,50,-4,P,60,NA
Cantharidus exasperatus,Cantharidus exasperatus,Trochidae,Archaeogastropo,Gastropoda,Mollusca,Cantharidus,N,48,-3,L,160,NA
Natica poliana,Euspira nitida,Naticidae,Neotaenioglossa,Gastropoda,Mollusca,Euspira,N,50,-4,P,140,NA
Lacuna vincta,Lacuna vincta,Littorinidae,,Gastropoda,Mollusca,Lacuna,N,50,-4,P,180,NA
Littorina neritoides,Littorina neritoides,Littorinidae,Neotaenioglossa,Gastropoda,Mollusca,Littorina,N,50,-4,P,80,NA
Littorina littorea,Littorina littorea,Littorinidae,Neotaenioglossa,Gastropoda,Mollusca,Littorina,N,50,-4,P,205,NA
Balcis alba,Melanella alba,Eulimidae,,Gastropoda,Mollusca,Melanella,N,50,-4,P,100,NA
Littorina neritoides,Melarhaphe neritoides,Littorinidae,Neotaenioglossa,Gastropoda,Mollusca,Melarhaphe,N,50,-4,P,80,NA
Chrysallida decussata,Parthenina decussata,Pyramidellidae,,Gastropoda,Mollusca,Parthenina,N,50,-4,P,90,NA
Patella vulgata,Patella vulgata,Patellidae,,Gastropoda,Mollusca,Patella,N,50,-4,P,160,NA
Patina pellucida,Patella pellucida,Patellidae,Prosobranchia,Gastropoda,Mollusca,Patella,N,50,-4,L,320,NA
Pelseneeria stylifera,Pelseneeria stylifera,Eulimidae,,Gastropoda,Mollusca,Pelseneeria,N,50,-4,P,100,NA
Rissoa membranacea,Rissoa membranacea,Rissoidae,,Gastropoda,Mollusca,Rissoa,N,50,-4,P,130,NA
Simnia patula,Simnia patula,Ovulidae,Littorinimorpha,Gastropoda,Mollusca,Simnia,N,50,-4,P,130,NA
Trophon muricatus,Trophonopsis muricata,Muricidae,Neogastropoda,Gastropoda,Mollusca,Trophonopsis,N,50,-4,L,480,NA
Branchiomma luctuosum,Branchiomma luctuosum,Sabellidae,Sabellida,Polychaeta,Annelida,Branchiomma,N,40.737633,14,L,140,5
Echinus esculentus,Echinus esculentus,Echinidae,Echinoida,Echinoidea,Echinodermata,Echinus,N,50,-4,P,180,42
Nodilittorina trochoides,Echinolittorina pascua,Littorinidae,Littorinimorpha,Gastropoda,Mollusca,Echinolittorina,N,22,114,P,65,NA
Nodilittorina vidua,Echinolittorina vidua,Littorinidae,Littorinimorpha,Gastropoda,Mollusca,Echinolittorina,N,22,114,P,65,NA
Littoraria articulata,Littoraria articulata,Littorinidae,Littorinimorpha,Gastropoda,Mollusca,Littoraria,N,22,114,P,70,NA
Nodilittorina trochoides,Nodilittorina trochoides,Littorinidae,Littorinimorpha,Gastropoda,Mollusca,Nodilittorina,N,22,114,P,65,NA
Peasiella roepstorffiana,Peasiella roepstorffiana,Littorinidae,Littorinimorpha,Gastropoda,Mollusca,Peasiella,N,22,114,P,70,NA
Dipolydora melanopalpa,Dipolydora melanopalpa,Spionidae,Spionida,Polychaeta,Annelida,Dipolydora,N,42,132,L,80,NA
Manayunkia caspica,Manayunkia caspica,Sabellidae,Sabellida,Polychaeta,Annelida,Manayunkia,N,45.294211,28,L,120,NA
Galeolaria caespitosa,Galeolaria caespitosa,Serpulidae,Sabellida,Polychaeta,Annelida,Galeolaria,S,-33,151.202087,P,64,12
Pyura fissa,Pyura fissa,Pyuridae,Stolidobranchia,Ascidiacea,Chordata,Pyura,S,-35,137,L,175.78,NA
