"","x"
"1",0.3744
"2",0.1362
"3",0.0807
"4",0.0438
"5",0.0399
"6",0.0383
"7",0.0377
"8",0.0324
"9",0.0258
"10",0.0251
"11",0.0238
"12",0.0216
"13",0.0196
"14",0.0131
"15",0.0121
"16",0.0121
"17",0.0115
"18",0.0096
"19",0.005
"20",0.0047
"21",0.0037
"22",0.0031
"23",0.003
"24",0.0026
"25",0.0022
"26",0.0021
"27",0.0018
"28",0.0018
"29",0.0017
"30",0.0014
"31",0.0013
"32",0.0012
"33",0.0011
"34",0.001
"35",9e-04
"36",9e-04
"37",5e-04
"38",4e-04
"39",4e-04
"40",4e-04
"41",4e-04
"42",2e-04
"43",1e-04
"44",1e-04
"45",1e-04
"46",1e-04
"47",1e-04
