"video_id","time_start","obs_duration","island","site","pct_coral","species","max_n","observer","duration","region","depth","lat","long"
"BIOT_7097_EAGL_071_RIG2_L_1","0:00","30:00","Ile Des Rats",84,10,"Lutjanus gibbus",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L_2","0:00","30:00","Ile Des Rats",84,10,"Plectropomus laevis",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EGMT_084_RIG5_L_2","0:00","30:00","Ile Des Rats",84,10,"Lethrinus enigmaticus",1,"Hannah Rempel",1800s (~30 minutes),"Egmont",10.6,"06 38.297","71 18.836"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Lutjanus bohar",7,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Melichthys niger",5,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Carcharhinus amblyrhynchos",3,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Aethaleoperca rogaa",1,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Triaenodon obesus",1,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Plectropomus laevis",2,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Caranx melampygus",2,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Balistapus undulatus",1,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Nebrius ferrugineus",2,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Variola louti",1,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_EAGL_071_RIG2","10:00","20:32","Eagle Island",71,5,"Carcharhinus melanopterus",1,"Hannah Rempel",1232s (~20.53 minutes),"Eagle Island",7.5,"06 10.585","71 19.834"
"BIOT_7097_SALO_044_ANG_RIG5_L_3","0:00","30:00","Ile Anglaise",44,95,"Carcharhinus amblyrhynchos",2,"Isabel Grudowski",1800s (~30 minutes),"Salomon",6.1,"05 19.787","72 13.168"
"BIOT_7097_SALO_044_ANG_RIG5_L_3","0:00","30:00","Ile Anglaise",44,95,"Aethaloperca rogaa",3,"Isabel Grudowski",1800s (~30 minutes),"Salomon",6.1,"05 19.787","72 13.168"
"BIOT_7097_SALO_044_ANG_RIG5_L_3","0:00","30:00","Ile Anglaise",44,95,"Cephalopholis argus",2,"Isabel Grudowski",1800s (~30 minutes),"Salomon",6.1,"05 19.787","72 13.168"
"BIOT_7097_SALO_044_ANG_RIG5_L_3","0:00","30:00","Ile Anglaise",44,95,"Lutjanus gibbus",1,"Isabel Grudowski",1800s (~30 minutes),"Salomon",6.1,"05 19.787","72 13.168"
"BIOT_7097_SALO_044_ANG_RIG5_L_3","0:00","30:00","Ile Anglaise",44,95,"Lutjanus bohar",3,"Isabel Grudowski",1800s (~30 minutes),"Salomon",6.1,"05 19.787","72 13.168"
"BIOT_7097_SALO_044_ANG_RIG5_L_3","0:00","30:00","Ile Anglaise",44,95,"Caranx melampygus",6,"Isabel Grudowski",1800s (~30 minutes),"Salomon",6.1,"05 19.787","72 13.168"
"BIOT_7097_SALO_044_ANG_RIG5_L_3","0:00","30:00","Ile Anglaise",44,95,"Balistoides viridescens",2,"Isabel Grudowski",1800s (~30 minutes),"Salomon",6.1,"05 19.787","72 13.168"
"BIOT_7097_SALO_044_ANG_RIG5_L_3","0:00","30:00","Ile Anglaise",44,95,"Variola louti",1,"Isabel Grudowski",1800s (~30 minutes),"Salomon",6.1,"05 19.787","72 13.168"
"BIOT_7097_SALO_044_ANG_RIG5_L_4","0:00","30:00","Ile Anglaise",44,95,"Melichthys niger",3,"Isabel Grudowski",1800s (~30 minutes),"Salomon",6.1,"05 19.787","72 13.168"
"BIOT_7097_SALO_044_ANG_RIG5_L_4","0:00","30:00","Ile Anglaise",44,95,"Aulostomus chinensis",1,"Isabel Grudowski",1800s (~30 minutes),"Salomon",6.1,"05 19.787","72 13.168"
"BIOT_7097_SALO_040_BOD_RIG2_L_2","0:00","22:11","Ile Boddam",40,90,"Carcharhinus amblyrhynchos",3,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
"BIOT_7097_SALO_040_BOD_RIG2_L_2","0:00","22:11","Ile Boddam",40,90,"Plectropomus laevis",4,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
"BIOT_7097_SALO_040_BOD_RIG2_L_2","0:00","22:11","Ile Boddam",40,90,"Lutjanus bohar",3,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
"BIOT_7097_SALO_040_BOD_RIG2_L_2","0:00","22:11","Ile Boddam",40,90,"Balistapus undulatus",1,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
"BIOT_7097_SALO_040_BOD_RIG2_L_2","0:00","22:11","Ile Boddam",40,90,"Balistoides viridescens",2,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
"BIOT_7097_SALO_040_BOD_RIG2_L_2","0:00","22:11","Ile Boddam",40,90,"Aethaloperca rogaa",3,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
"BIOT_7097_SALO_040_BOD_RIG2_L_2","0:00","22:11","Ile Boddam",40,90,"Lethrinus nebulosus",1,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
"BIOT_7097_SALO_040_BOD_RIG2_L_2","0:00","22:11","Ile Boddam",40,90,"Gymnothorax javanicus",1,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
"BIOT_7097_SALO_040_BOD_RIG2_L_3","0:00","22:11","Ile Boddam",40,90,"Nebrius ferrugineus",1,"Isabel Grudowski",1331s (~22.18 minutes),"Salomon",8,"05 21.789","72 12.176"
