video_id,time_start,obs_duration,island,site,pct_coral,species,max_n,observer,notes
BIOT_7097_SALO_044_ANG_RIG5_L_3,0:00,30:00,Ile Anglaise,44,95,Lutjanus gibbus,1,Isabel Grudowski,
BIOT_7097_SALO_044_ANG_RIG5_L_3,0:00,30:00,Ile Anglaise,44,95,Lutjanus bohar,3,Isabel Grudowski,
BIOT_7097_SALO_044_ANG_RIG5_L_3,0:00,30:00,Ile Anglaise,44,95,Caranx melampygus,6,Isabel Grudowski,
BIOT_7097_SALO_044_ANG_RIG5_L_3,0:00,30:00,Ile Anglaise,44,95,Balistoides viridescens,2,Isabel Grudowski,
BIOT_7097_SALO_044_ANG_RIG5_L_3,0:00,30:00,Ile Anglaise,44,95,Variola louti,1,Isabel Grudowski,
BIOT_7097_SALO_044_ANG_RIG5_L_4,0:00,30:00,Ile Anglaise,44,95,Melichthys niger,3,Isabel Grudowski,
BIOT_7097_SALO_044_ANG_RIG5_L_4,0:00,30:00,Ile Anglaise,44,95,Aulostomus chinensis,1,Isabel Grudowski,
BIOT_7097_SALO_040_BOD_RIG2_L_2,0:00,22:11,Ile Boddam,40,90,Carcharhinus amblyrhynchos,3,Isabel Grudowski,
BIOT_7097_SALO_040_BOD_RIG2_L_2,0:00,22:11,Ile Boddam,40,90,Plectropomus laevis,4,Isabel Grudowski,
BIOT_7097_SALO_040_BOD_RIG2_L_2,0:00,22:11,Ile Boddam,40,90,Lutjanus bohar,3,Isabel Grudowski,
BIOT_7097_SALO_040_BOD_RIG2_L_2,0:00,22:11,Ile Boddam,40,90,Balistapus undulatus,1,Isabel Grudowski,
BIOT_7097_SALO_040_BOD_RIG2_L_2,0:00,22:11,Ile Boddam,40,90,Balistoides viridescens,2,Isabel Grudowski,
BIOT_7097_SALO_040_BOD_RIG2_L_2,0:00,22:11,Ile Boddam,40,90,Aethaloperca rogaa,3,Isabel Grudowski,
BIOT_7097_SALO_040_BOD_RIG2_L_2,0:00,22:11,Ile Boddam,40,90,Lethrinus nebulosus,1,Isabel Grudowski,
BIOT_7097_SALO_040_BOD_RIG2_L_2,0:00,22:11,Ile Boddam,40,90,Gymnothorax javanicus,1,Isabel Grudowski,
BIOT_7097_SALO_040_BOD_RIG2_L_3,0:00,22:11,Ile Boddam,40,90,Nebrius ferrugineus,1,Isabel Grudowski,Stopped observing before full 30 mins because tawny nurse shark took bait bag
BIOT_7097_SALO_040_BOD_RIG2_L_3,0:00,22:11,Ile Boddam,40,90,Melichthys niger,2,Isabel Grudowski,
BIOT_7097_SALO_040_BOD_RIG2_L_3,0:00,22:11,Ile Boddam,40,90,Triaenodon obesus,1,Isabel Grudowski,
BIOT_7097_NELS_054_RIG5_L_2,0:00,30:00,East of Nelson's Island,54,95,Carcharhinus amblyrhynchos,2,Isabel Grudowski,
BIOT_7097_NELS_054_RIG5_L_2,0:00,30:00,East of Nelson's Island,54,95,Triaenodon obesus,1,Isabel Grudowski,
BIOT_7097_NELS_054_RIG5_L_2,0:00,30:00,East of Nelson's Island,54,95,Balistapus undulatus,2,Isabel Grudowski,
BIOT_7097_NELS_054_RIG5_L_2,0:00,30:00,East of Nelson's Island,54,95,Melichthys niger,1,Isabel Grudowski,
BIOT_7097_NELS_054_RIG5_L_2,0:00,30:00,East of Nelson's Island,54,95,Variola louti,1,Isabel Grudowski,
BIOT_7097_NELS_054_RIG5_L_2,0:00,30:00,East of Nelson's Island,54,95,Plectropomus laevis,2,Isabel Grudowski,
BIOT_7097_NELS_054_RIG5_L_2,0:00,30:00,East of Nelson's Island,54,95,Aethaloperca rogaa,1,Isabel Grudowski,
BIOT_7097_NELS_054_RIG5_L_3,0:00,30:00,East of Nelson's Island,54,95,Gymnothorax javanicus,1,Isabel Grudowski,
BIOT_7097_EGMT_090_RIG2_L_2,0:00,30:00,Eagle Island,90,80,Carcharhinus amblyrhynchos,5,Isabel Grudowski,
BIOT_7097_EGMT_090_RIG2_L_2,0:00,30:00,Eagle Island,90,80,Lutjanus gibbus,3,Isabel Grudowski,
BIOT_7097_EGMT_090_RIG2_L_2,0:00,30:00,Eagle Island,90,80,Variola louti,1,Isabel Grudowski,
BIOT_7097_EGMT_090_RIG2_L_2,0:00,30:00,Eagle Island,90,80,Aethaloperca rogaa,2,Isabel Grudowski,
BIOT_7097_EGMT_090_RIG2_L_3,0:00,30:00,Eagle Island,90,80,Lutjanus bohar,10,Isabel Grudowski,
BIOT_7097_EGMT_090_RIG2_L_3,0:00,30:00,Eagle Island,90,80,Balistoides viridescens,9,Isabel Grudowski,
BIOT_7097_EGMT_090_RIG2_L_3,0:00,30:00,Eagle Island,90,80,Gymnothorax javanicus,2,Isabel Grudowski,
BIOT_7097_EGMT_090_RIG2_L_3,0:00,30:00,Eagle Island,90,80,Lethrinus nebulosus,2,Isabel Grudowski,
BIOT_7097_EGMT_090_RIG2_L_3,0:00,30:00,Eagle Island,90,80,Cephalopholis argus,3,Isabel Grudowski,
BIOT_7097_SALO_046_MAP_RIG6_L_4,0:00,9:12,Ile de la Passe,46,10,Melichthys niger,6,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_4,0:00,9:12,Ile de la Passe,46,10,Balistoides viridescens,1,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_4,0:00,9:12,Ile de la Passe,46,10,Balistapus undulatus,1,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_4,0:00,9:12,Ile de la Passe,46,10,Paracirrhites forsteri,1,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_4,0:00,9:12,Ile de la Passe,46,10,Variola louti,1,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_4,0:00,9:12,Ile de la Passe,46,10,Lethirinus nebulosus,1,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_2,0:00,17:43,Ile de la Passe,46,10,Triaenodon obesus,2,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_2,0:00,17:43,Ile de la Passe,46,10,Nebrius ferrugineus,1,Caroline Mallinson,cool sea turtle @16
BIOT_7097_SALO_046_MAP_RIG6_L_2,0:00,17:43,Ile de la Passe,46,10,Melichthys niger,11,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_2,0:00,17:43,Ile de la Passe,46,10,Cephalopholis argus,2,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_2,0:00,17:43,Ile de la Passe,46,10,Lethirinus nebulosus,2,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_2,0:00,17:43,Ile de la Passe,46,10,Carcharhinus amblyrhynchos,1,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_2,0:00,17:43,Ile de la Passe,46,10,Balistoides viridescens,2,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_2,0:00,17:43,Ile de la Passe,46,10,Variola louti,1,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_3,0:00,6:35,Ile de la Passe,46,10,Melichthys niger,4,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_3,0:00,6:35,Ile de la Passe,46,10,Variola louti,1,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_3,0:00,6:35,Ile de la Passe,46,10,Lethirinus nebulosus,1,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_3,0:00,6:35,Ile de la Passe,46,10,Balistoides viridescens,1,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_3,0:00,6:35,Ile de la Passe,46,10,Cephalophoplis argus,2,Caroline Mallinson,
BIOT_7097_SALO_046_MAP_RIG6_L_3,0:00,6:35,Ile de la Passe,46,10,Lethrinus enigmaticus,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_2,0:00,17:43,North of Petite,29,2,Triaenodon obesus,2,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_2,0:00,17:43,North of Petite,29,2,Plectropomus laevis,2,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_2,0:00,17:43,North of Petite,29,2,Carcharhinus amblyrhynchos,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_2,0:00,17:43,North of Petite,29,2,Cephalopholis argus,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_2,0:00,17:43,North of Petite,29,2,Lutjanus bohar,25,Caroline Mallinson,"best guess, big swarm of bait bag and in front of camera"
BIOT_7097_PBAN_029_EAST_RIG3_L_2,0:00,17:43,North of Petite,29,2,Epinephelus fuscoguttatus,2,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_2,0:00,17:43,North of Petite,29,2,Cephalophoplis argus,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_2,0:00,17:43,North of Petite,29,2,Lutjanus gibbus,2,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_2,0:00,17:43,North of Petite,29,2,Caranx melampygus,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_2,0:00,17:43,North of Petite,29,2,Variola louti,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_3,0:00,15:06,North of Petite,29,2,Lutjanus bohar,18,Caroline Mallinson,"best guess, big swarm of bait bag and in front of camera"
BIOT_7097_PBAN_029_EAST_RIG3_L_3,0:00,15:06,North of Petite,29,2,Variola louti,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_3,0:00,15:06,North of Petite,29,2,Lutjanus gibbus,3,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_3,0:00,15:06,North of Petite,29,2,Triaenodon obesus,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_3,0:00,15:06,North of Petite,29,2,Melichthys niger,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_3,0:00,15:06,North of Petite,29,2,Plectropomus laevis,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_3,0:00,15:06,North of Petite,29,2,Balistoides viridescens,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_3,0:00,15:06,North of Petite,29,2,Carcharhinus melanopterus,1,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_3,0:00,15:06,North of Petite,29,2,Epinephelus fuscoguttatus,2,Caroline Mallinson,
BIOT_7097_PBAN_029_EAST_RIG3_L_3,0:00,15:06,North of Petite,29,2,Caranx melampygus,2,Caroline Mallinson,
BIOT_7097_NBRO_069_RIG3_L_2,0:00,17:43,North Brother,69,5,Carcharhinus amblyrhynchos,2,Caroline Mallinson,
BIOT_7097_NBRO_069_RIG3_L_2,0:00,17:43,North Brother,69,5,Balistoides viridescens,2,Caroline Mallinson,
BIOT_7097_NBRO_069_RIG3_L_2,0:00,17:43,North Brother,69,5,Lethirinus nebulosus,1,Caroline Mallinson,
BIOT_7097_NBRO_069_RIG3_L_2,0:00,17:43,North Brother,69,5,Triaenodon obesus,1,Caroline Mallinson,
BIOT_7097_NBRO_069_RIG3_L_2,0:00,17:43,North Brother,69,5,Melichthys niger,1,Caroline Mallinson,
BIOT_7097_NBRO_069_RIG3_L_3,0:00,15:34,North Brother,69,5,Carcharhinus amblyrhynchos,3,Caroline Mallinson,
BIOT_7097_NBRO_069_RIG3_L_3,0:00,15:34,North Brother,69,5,Lethrinus enigmaticus,1,Caroline Mallinson,"grey reef sharks kept trying to eat bait bag, were unsuccessful"
BIOT_7097_NBRO_069_RIG3_L_3,0:00,15:34,North Brother,69,5,Melichthys niger,1,Caroline Mallinson,
BIOT_7097_NBRO_069_RIG3_L_3,0:00,15:34,North Brother,69,5,Balistoides viridescens,1,Caroline Mallinson,
BIOT_7097_EGMT_085_RIG6_L_2,0:00,17:43,Ile Des Rats,85,5,Carcharhinus amblyrhynchos,4,Caroline Mallinson,
BIOT_7097_EGMT_085_RIG6_L_2,0:00,17:43,Ile Des Rats,85,5,Triaenodon obesus,1,Caroline Mallinson,"4:33 fish took piece of bait, but bag remained intact w/ bait still in it"
