Species,Diet,Habitat,Territorial,Sizeclass,ID,Big Vickis2011,Big Vickis2015,Blue Lagoon2011,Blue Lagoon2015,Bommie Bay2011,Bommie Bay2015,Coconut2011,Coconut2015,Granite2011,Granite2015,LTMP12011,LTMP12015,LTMP32011,LTMP32015,Monkey's Butt2011,Monkey's Butt2015,North Reef2011,North Reef2015,Palfrey Lagoon2011,Palfrey Lagoon2015,Pidgin Point2011,Pidgin Point2015,Resort2011,Resort2015,Steve's Gully2011,Steve's Gyllu2015,Washing Machine2011,Washing Machine2015
cho.mono,InvMobMac,Rubble,Nonterritorial,Medium,cho.mono,0,0,0,0,0,0,0,0,0,2.130919692,0,0,0,0,0,0,0,0,0,1.176711432,0,0,0,0,0,0,0,0.45594966
cho.scho,Piscivore,Sand,Nonterritorial,Verylarge,cho.scho,0,0,0,0,0,0,0,0,0,1.360645358,0,0,0,0,1.162404965,0,0,0,0,0,0,0,1.730892946,0,0,0,0,0
cho.vitt,InvMobMac,Rubble,Nonterritorial,Medium,cho.vitt,0,0,0,0,0,0,0,0,0,0.187034378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr.alis,Plankton,Hard,Nonterritorial,Small,chr.alis,0,0.130250318,0,0,0,0,0.074260088,0,0,0,0,0,0,0,0,0,0,0,0,0.690028296,0,0,0.021708386,0,0,0.010854193,0,0
chr.lepi,Plankton,Hard,Nonterritorial,Small,chr.lepi,0,0,0,0,0,0,0,0,0.170120825,0,0.036644166,0,0,0,0,0,0,0,0,0,0,0,0.088036177,0,0,0,0,0
chr.marg,Plankton,Hard,Nonterritorial,Small,chr.marg,0,0,0,0,0,0,0,0,0.018402232,0,0,0,0,0,0,0,0,0,0,0,0,0.006322866,0,0,0,0,0,0
chr.tern,Plankton,Coral,Nonterritorial,Small,chr.tern,0,4.490103328,0.063786593,0,0.127573185,0.648592867,0,0,0.043858172,0,0.233349514,0,3.808793115,0.363399325,0.568196492,0.961927965,0.885047628,0.139150339,0.111432676,0.303496797,0,0,0,0,0.552084687,0.653119889,0,2.50824244
chr.viri,Plankton,Coral,Nonterritorial,Small,chr.viri,0.468197043,0.446433513,0,0.165173428,0.176310134,0,0,0,0.09279682,0,0.263726194,0,1.733259183,0,0,0.249016927,0.29239445,0,0.289416411,2.887538902,0,0,0,0,1.504822902,0,0.34234118,0
chr.webe,Plankton,Hard,Nonterritorial,Small,chr.webe,0,0,0,0,0,0,0.167981586,0.129824521,0.036804465,0,0.472152108,1.263222133,0.06898864,0,0,0,0.10995115,0.06898864,0,0,0,0.067680834,0,0,0.387410641,0.264177295,0.297561071,0
chr.xant,Plankton,Hard,Nonterritorial,Small,chr.xant,0,0,0,0,0,0,0,0,0,0,0,0.160999801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chs.blee,TurfDetrit,Hard,Nonterritorial,Large,chs.blee,0,0,0.229325227,0,0,0,0,0,0,0,0.111236107,0,0,0,0,0,0,0.828667707,0,0,0,0,0,0,0.229325227,0,0,0
chs.micr,TurfDetrit,Hard,Nonterritorial,Verylarge,chs.micr,0,2.598576838,4.999241051,6.454902274,0.006612151,11.60959383,0.649952032,12.43581485,0,1.880035686,0.077171301,1.047317223,2.307682978,11.436786,1.143235565,0.704852045,0,8.595552281,0.00276553,1.808487723,4.043096837,0.763163966,0,0,0,2.488542095,0.044415714,1.916492545
chs.sord,TurfDetrit,Hard,Nonterritorial,Large,chs.sord,3.131660445,2.119465616,0.07192235,0.249062276,0.289356722,5.0375602,0.45711202,2.913451055,0.932058981,0,0.486463867,5.335023878,1.990088562,3.53773394,9.265775658,1.499026356,1.70894978,2.897786153,0.326889607,2.814309862,0.391398897,2.320758999,0.511054616,0,0.552207769,1.954389474,1.73503016,0.907981416
chy.cyan,Plankton,Rubble,Territorial,Small,chy.cyan,0,0,0,0,0,0,0,0,0,0,0.02120391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chy.flav,Omniv,Rubble,Territorial,Small,chy.flav,0,0,0,0,0,0,0,0,0.008197712,0,0,0,0.058741796,0.197147914,0,0,0.008197712,0,0,0,0,0,0.012870012,0,0,0,0,0
chy.rex,TurfDetrit,Hard,Territorial,Small,chy.rex,0,0,0,0,0,0.013006198,0.02120391,0,0,0,0.025740025,0,0,0.004808486,0,0,0,0,0,0,0.004808486,0,0,0,0.017814684,0,0,0
chy.roll,Plankton,Rubble,Territorial,Small,chy.roll,0.230952339,0,0.650077023,0.024042429,0.277461096,0,0.040437853,0,0.15905434,0.004808486,0.100877245,0,0.02587621,0,0.35203589,0.214962598,0.130930529,0.013006198,0.185339809,0.055414017,0.029265436,0.014425457,0.249087723,0.024042429,0.075516512,0,0.446745351,0.017814684
chy.talb,Plankton,Hard,Territorial,Small,chy.talb,0,0,0,0,0,0,0.042407819,0,0.012870012,0,0.166043716,0,0.046242345,0,0,0.004808486,0.055277832,0.004808486,0,0,0.024593136,0,0,0,0,0,0,0.004808486
cor.auyg,InvMobMac,Rubble,Nonterritorial,Large,cor.auyg,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177541824,0,0,0,0,0,0,0,0,0,0,0.396828127,0,0,0
cor.batu,InvMobMac,Rubble,Nonterritorial,Medium,cor.batu,0.152991057,0.005519849,0.014075955,0.095642242,0.190399298,0.135286377,0.166877648,0.178585756,0.085865056,1.086723888,0.010605079,0.090675056,0.116439488,0.060892656,0.005519849,0.177597071,0,1.352283443,0.223420911,0.103507062,0.153869645,0.101207728,0.138499347,0.340302652,0.027546263,0.124799342,0.073115394,0.099657487
cor.chry,InvMobMac,Hard,Nonterritorial,Small,cor.chry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02815191,0,0
cor.gaim,InvMobMac,Hard,Nonterritorial,Large,cor.gaim,0,0,0,0,0.091884712,0,0.013297028,0.2193463,0,0.005519849,0,0.151343703,0,0,0,0,0.101173203,0.028099231,0,0,0,0,0,0,0.168171144,0,0,0
crd.chry,InvSess,Hard,Nonterritorial,Small,crd.chry,0,0.065308134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cro.alti,Piscivore,Hard,Nonterritorial,Verylarge,cro.alti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.820512853,0,0,1.03271826,0,0,0,0,0,0,0
cte.bino,TurfDetrit,Hard,Nonterritorial,Medium,cte.bino,0.216975149,0.062871986,0,0,0.160351202,0.273580185,0.332640961,0,0.38117063,0,0.515724916,1.893464726,0.332852231,0.618720003,0.285005021,0.206240001,0.117808641,1.105698735,0.027663515,0,0.019597235,0.264306176,0.06088598,0.033100983,0.570238651,1.712840659,0.47432408,0
cte.stri,TurfDetrit,Hard,Nonterritorial,Medium,cte.stri,7.750359574,3.051235278,0.337862352,0.56815369,1.323424991,8.50959871,1.431477743,1.074135119,7.616156321,7.791410732,2.085544811,7.892438645,1.38874513,3.337891555,0.51778736,0.879543346,5.572382916,12.22074102,1.334376564,0.389771818,2.552351449,2.525477554,1.531906008,0.736231951,4.267878139,5.691264404,2.543632715,2.778257086
das.arua,Plankton,Coral,Nonterritorial,Small,das.arua,0.949998962,0.008494116,0,0.059458812,1.15730108,0,0,0.025482348,0.034612488,0,0,0,0.023142541,0,0,0.052439391,0,0,0.127499476,0.023221747,0.049260913,0,0,0,0.014648425,0.077921739,1.422695978,0
das.reti,Plankton,Coral,Nonterritorial,Small,das.reti,0.710051061,0.016051372,0,0,0.544159434,0,0.928268574,0.032102744,4.575385514,0,0.718398363,0,2.665670581,0.030260159,0.016051372,0.062362903,0.206032773,0,0,0,0.346758135,0,0,0,0.217099837,0.182748192,2.490558943,0
das.trim,Omniv,Coral,Nonterritorial,Small,das.trim,0,0,0,0,0,0,0,0.115192203,0.868414015,0,0,0.057596101,0.006988095,0,0,0,0.019454785,0,0,0,0,0,0,0,0,0,0,0
dia.pict,InvMobMac,Sand,Nonterritorial,Verylarge,dia.pict,0,4.466841632,14.71105946,26.9744464,0,1.077896645,0,0,0,0,0,0,0,0,0.162260047,1.077896645,0,0,0,0,0,0,5.505617857,0,0,0,0,0
