species,group,group2
Orange-crowned Warbler,songbirds,NA
Northern Parula,songbirds,NA
Northern Cardinal,songbirds,NA
Marsh Wren,songbirds,NA
House Wren,songbirds,NA
Sedge Wren,songbirds,NA
Gray Catbird,songbirds,NA
White-crowned Sparrow,songbirds,NA
LeConte's Sparrow,songbirds,NA
Yellow-breasted Chat,songbirds,NA
Tennessee Warbler,songbirds,NA
Common Yellowthroat,songbirds,NA
Bay-breasted Warbler,songbirds,NA
Yellow-rumped Warbler,songbirds,NA
Yellow-throated Warbler,songbirds,NA
Vesper Sparrow,songbirds,NA
Tropical Kingbird,songbirds,NA
Baltimore Oriole,songbirds,NA
Blackpoll Warbler,songbirds,NA
Rose-breasted Grosbeak,songbirds,NA
Upland Sandpiper,songbirds,NA
Least Flycatcher,songbirds,NA
Great Crested Flycatcher,songbirds,NA
Western Kingbird,songbirds,NA
Lesser Goldfinch,songbirds,NA
Clay-colored Sparrow,songbirds,NA
Brewer's Blackbird,songbirds,NA
Nashville Warbler,songbirds,NA
Mourning Warbler,songbirds,NA
Dickcissel,songbirds,NA
Blue-gray Gnatcatcher,songbirds,NA
Sage Thrasher,songbirds,NA
Cedar Waxwing,songbirds,NA
Blue-winged Warbler,songbirds,NA
Hooded Warbler,songbirds,NA
Summer Tanager,songbirds,NA
Painted Bunting,songbirds,NA
American Robin,songbirds,NA
Orchard Oriole,songbirds,NA
Black-crested Titmouse,songbirds,NA
Spotted Towhee,songbirds,NA
Willow Flycatcher,songbirds,NA
Couch's Kingbird,songbirds,NA
White-eyed Vireo,songbirds,NA
Yellow-throated Vireo,songbirds,NA
Blue-headed Vireo,songbirds,NA
Philadelphia Vireo,songbirds,NA
Warbling Vireo,songbirds,NA
Red-eyed Vireo,songbirds,NA
Golden-crowned Kinglet,songbirds,NA
Red-breasted Nuthatch,songbirds,NA
Brown Creeper,songbirds,NA
Winter Wren,songbirds,NA
Carolina Wren,songbirds,NA
Gray-cheeked Thrush,songbirds,NA
Swainson's Thrush,songbirds,NA
Hermit Thrush,songbirds,NA
Wood Thrush,songbirds,NA
Cassin's Sparrow,songbirds,NA
Olive Sparrow,songbirds,NA
Chipping Sparrow,songbirds,NA
Lark Sparrow,songbirds,NA
Swamp Sparrow,songbirds,NA
Hooded Oriole,songbirds,NA
Bullock's Oriole,songbirds,NA
Ovenbird,songbirds,NA
Worm-eating Warbler,songbirds,NA
Louisiana Waterthrush,songbirds,NA
Golden-winged Warbler,songbirds,NA
Black-and-white Warbler,songbirds,NA
Prothonotary Warbler,songbirds,NA
Kentucky Warbler,songbirds,NA
American Redstart,songbirds,NA
Cape May Warbler,songbirds,NA
Cerulean Warbler,songbirds,NA
Magnolia Warbler,songbirds,NA
Blackburnian Warbler,songbirds,NA
Chestnut-sided Warbler,songbirds,NA
Pine Warbler,songbirds,NA
Black-throated Green Warbler,songbirds,NA
Canada Warbler,songbirds,NA
Wilson's Warbler,songbirds,NA
Scarlet Tanager,songbirds,NA
Groove-billed Ani,songbirds,NA
Acadian Flycatcher,songbirds,NA
Alder Flycatcher,songbirds,NA
Cassin's Vireo,songbirds,NA
Black-whiskered Vireo,songbirds,NA
Brown Thrasher,songbirds,NA
Veery,songbirds,NA
Nelson's Sparrow,songbirds,NA
Bobolink,songbirds,NA
Swainson's Warbler,songbirds,NA
Prairie Warbler,songbirds,NA
Black-throated Gray Warbler,songbirds,NA
American Goldfinch,songbirds,NA
Black-throated Blue Warbler,songbirds,NA
Vermilion Flycatcher,songbirds,NA
Brown-crested Flycatcher,songbirds,NA
Bell's Vireo,songbirds,NA
Bewick's Wren,songbirds,NA
Pine Siskin,songbirds,NA
White-throated Sparrow,songbirds,NA
Lucy's Warbler,songbirds,NA
Townsend's Warbler,songbirds,NA
Western Tanager,songbirds,NA
Black-headed Grosbeak,songbirds,NA
